央视,#genre#
东北热剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
欢乐剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
潮妈辣婆,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
金牌综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
精品纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
军事评论,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8
农业致富,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8
精品体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
武搏世界,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8
中国功夫,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
炫舞未来,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225719/index.m3u8
怡伴健康,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225673/index.m3u8
精品萌宠,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226505/index.m3u8
超级电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
超级电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
超级综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
超级体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
全民热练,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226508/index.m3u8

黑莓电影,http://39.134.67.68/PLTV/88888888/224/3221225681/index.m3u8
黑莓动画,http://39.134.67.68/PLTV/88888888/224/3221225529/index.m3u8
哒啵赛事,http://39.134.67.68/PLTV/88888888/224/3221225559/index.m3u8
热播精选,http://39.134.67.68/PLTV/88888888/224/3221225521/index.m3u8
精品综合,http://39.134.67.68/PLTV/88888888/224/3221225550/index.m3u8
动作电影,http://39.134.67.68/PLTV/88888888/224/3221225555/index.m3u8
爱情喜剧,http://39.134.67.68/PLTV/88888888/224/3221225533/index.m3u8
惊悚悬疑,http://39.134.67.68/PLTV/88888888/224/3221225553/index.m3u8
精品大剧,http://39.134.67.68/PLTV/88888888/224/3221225536/index.m3u8
家庭剧场,http://39.134.67.68/PLTV/88888888/224/3221225538/index.m3u8
古装剧场,http://39.134.67.68/PLTV/88888888/224/3221225524/index.m3u8
军旅剧场,http://39.134.67.68/PLTV/88888888/224/3221225560/index.m3u8
东北热剧,http://39.134.67.68/PLTV/88888888/224/3221225679/index.m3u8
欢乐剧场,http://39.134.67.68/PLTV/88888888/224/3221225682/index.m3u8
潮妈辣婆,http://39.134.67.68/PLTV/88888888/224/3221225542/index.m3u8
金牌综艺,http://39.134.67.68/PLTV/88888888/224/3221225525/index.m3u8
精品纪录,http://39.134.67.68/PLTV/88888888/224/3221225545/index.m3u8
军事评论,http://39.134.67.68/PLTV/88888888/224/3221225535/index.m3u8
农业致富,http://39.134.67.68/PLTV/88888888/224/3221225552/index.m3u8
精品体育,http://39.134.67.68/PLTV/88888888/224/3221225526/index.m3u8
武搏世界,http://39.134.67.68/PLTV/88888888/224/3221225547/index.m3u8
中国功夫,http://39.134.67.68/PLTV/88888888/224/3221225604/index.m3u8
炫舞未来,http://39.134.67.68/PLTV/88888888/224/3221225646/index.m3u8
怡伴健康,http://39.134.67.68/PLTV/88888888/224/3221225571/index.m3u8
精品萌宠,http://39.134.67.68/PLTV/88888888/224/3221226051/index.m3u8
超级电影,http://39.134.67.68/PLTV/88888888/224/3221225644/index.m3u8
超级电视剧,http://39.134.67.68/PLTV/88888888/224/3221225637/index.m3u8
超级综艺,http://39.134.67.68/PLTV/88888888/224/3221225642/index.m3u8
超级体育,http://39.134.67.68/PLTV/88888888/224/3221225635/index.m3u8
全民热练,http://39.134.67.68/PLTV/88888888/224/3221226053/index.m3u8
求索纪录,http://39.134.67.68/PLTV/88888888/224/3221225713/index.m3u8
求索科学,http://39.134.67.68/PLTV/88888888/224/3221225728/index.m3u8
求索生活,http://39.134.67.68/PLTV/88888888/224/3221225715/index.m3u8
求索动物,http://39.134.67.68/PLTV/88888888/224/3221225730/index.m3u8
